global_row,peak,start,end,fragment_recount,matrix_rowsum
54,chr1-1087258-1087749,1087258,1087749,4473,1400.0
55,chr1-1091912-1092177,1091912,1092177,2232,555.0
56,chr1-1101362-1101625,1101362,1101625,1752,487.0
57,chr1-1107446-1107747,1107446,1107747,1693,529.0
58,chr1-1110482-1111059,1110482,1111059,3504,1020.0
59,chr1-1115444-1116986,1115444,1116986,98065,39341.0
60,chr1-1121580-1122807,1121580,1122807,23239,8409.0
61,chr1-1134986-1136538,1134986,1136538,8921,2538.0
62,chr1-1142668-1143080,1142668,1143080,2787,762.0
63,chr1-1143527-1143867,1143527,1143867,2595,737.0
64,chr1-1144107-1145020,1144107,1145020,6099,1631.0
65,chr1-1153647-1154267,1153647,1154267,4472,1465.0
66,chr1-1156684-1158970,1156684,1158970,71350,26971.0
67,chr1-1173527-1174206,1173527,1174206,4851,1285.0
68,chr1-1182563-1183409,1182563,1183409,7405,2093.0
69,chr1-1184955-1185728,1184955,1185728,10066,3628.0
70,chr1-1200872-1201708,1200872,1201708,9771,3237.0
71,chr1-1208041-1209326,1208041,1209326,17483,6034.0
72,chr1-1212734-1213121,1212734,1213121,4107,1144.0
73,chr1-1217382-1218682,1217382,1218682,13022,4248.0
74,chr1-1225339-1226693,1225339,1226693,10527,3191.0
75,chr1-1231168-1232879,1231168,1232879,71052,27463.0
76,chr1-1246393-1246881,1246393,1246881,4010,1056.0
77,chr1-1250294-1250900,1250294,1250900,3999,1207.0
78,chr1-1255848-1256476,1255848,1256476,2519,646.0
79,chr1-1259760-1260510,1259760,1260510,4583,1112.0
80,chr1-1263033-1263234,1263033,1263234,1318,333.0
81,chr1-1272900-1275374,1272900,1275374,66659,24746.0
82,chr1-1281065-1282006,1281065,1282006,7292,2161.0
83,chr1-1285178-1285382,1285178,1285382,2655,822.0
84,chr1-1285840-1286205,1285840,1286205,3573,1085.0
85,chr1-1286529-1286791,1286529,1286791,2769,831.0
86,chr1-1290218-1290479,1290218,1290479,4453,1787.0
87,chr1-1290722-1293124,1290722,1293124,31691,11183.0
88,chr1-1293329-1294036,1293329,1294036,8727,2895.0
89,chr1-1298366-1299471,1298366,1299471,35284,13522.0
90,chr1-1304301-1305067,1304301,1305067,36132,14819.0
91,chr1-1305339-1305560,1305339,1305560,10067,4072.0
92,chr1-1307406-1308836,1307406,1308836,86364,35002.0
93,chr1-1318214-1318588,1318214,1318588,5543,2358.0
94,chr1-1318899-1319162,1318899,1319162,3430,1107.0
95,chr1-1324211-1325337,1324211,1325337,42382,16362.0
96,chr1-1325627-1326216,1325627,1326216,7461,2533.0
97,chr1-1333207-1333912,1333207,1333912,9719,3350.0
98,chr1-1346151-1346432,1346151,1346432,5507,1976.0
99,chr1-1348561-1349915,1348561,1349915,60703,24346.0
100,chr1-1351499-1351735,1351499,1351735,3718,1227.0
101,chr1-1355326-1355643,1355326,1355643,5229,1836.0
102,chr1-1358039-1358853,1358039,1358853,11554,4051.0
103,chr1-1359937-1360806,1359937,1360806,9226,3200.0
104,chr1-1371763-1372310,1371763,1372310,10931,3882.0
105,chr1-1374542-1375895,1374542,1375895,72983,28647.0
106,chr1-1398706-1400153,1398706,1400153,53389,20626.0
107,chr1-1406366-1408039,1406366,1408039,35043,12631.0
108,chr1-1415670-1415894,1415670,1415894,1759,585.0
109,chr1-1419110-1421550,1419110,1421550,45871,16784.0
110,chr1-1425571-1427690,1425571,1427690,70984,25941.0
111,chr1-1430274-1430681,1430274,1430681,16507,6551.0
112,chr1-1433040-1433667,1433040,1433667,23133,9327.0
113,chr1-1433884-1434708,1433884,1434708,27848,11148.0
114,chr1-1434986-1435819,1434986,1435819,33832,13337.0
115,chr1-1440603-1442450,1440603,1442450,23568,8089.0
116,chr1-1455358-1455853,1455358,1455853,2713,720.0
117,chr1-1461785-1462988,1461785,1462988,6508,1781.0
118,chr1-1470671-1471890,1470671,1471890,30793,11732.0
119,chr1-1472592-1472841,1472592,1472841,1854,572.0
120,chr1-1479229-1479969,1479229,1479969,3290,802.0
121,chr1-1480137-1480392,1480137,1480392,1504,355.0
122,chr1-1482667-1483265,1482667,1483265,3066,823.0
123,chr1-1485729-1486142,1485729,1486142,2325,630.0
124,chr1-1494624-1494956,1494624,1494956,2105,568.0
125,chr1-1495321-1496346,1495321,1496346,5456,1351.0
126,chr1-1500868-1501157,1500868,1501157,1330,373.0
127,chr1-1503508-1503822,1503508,1503822,1852,480.0
128,chr1-1504628-1506130,1504628,1506130,15587,5590.0
129,chr1-1510683-1510883,1510683,1510883,2037,782.0
130,chr1-1511043-1512281,1511043,1512281,44567,17172.0
131,chr1-1517950-1518897,1517950,1518897,6375,1850.0
132,chr1-1521174-1521580,1521174,1521580,2584,758.0
133,chr1-1523186-1523969,1523186,1523969,6196,2036.0
134,chr1-1528731-1528937,1528731,1528937,1824,528.0
135,chr1-1536528-1536908,1536528,1536908,4817,1713.0
136,chr1-1539302-1541375,1539302,1541375,45962,18213.0
137,chr1-1550476-1551441,1550476,1551441,13295,4905.0
138,chr1-1554553-1555396,1554553,1555396,7972,2753.0
139,chr1-1562026-1562419,1562026,1562419,1691,613.0
140,chr1-1562487-1563195,1562487,1563195,5294,1744.0
141,chr1-1566968-1568627,1566968,1568627,10304,3530.0
142,chr1-1573860-1575537,1573860,1575537,49888,19404.0
143,chr1-1583449-1583840,1583449,1583840,2552,633.0
144,chr1-1593876-1594101,1593876,1594101,1717,480.0
145,chr1-1594334-1594844,1594334,1594844,3887,1183.0
146,chr1-1599118-1600657,1599118,1600657,19422,6748.0
147,chr1-1606840-1607477,1606840,1607477,3926,1072.0
148,chr1-1610073-1610343,1610073,1610343,2114,707.0
149,chr1-1614170-1616761,1614170,1616761,93419,36529.0
150,chr1-1628491-1632319,1628491,1632319,39630,13047.0
151,chr1-1636594-1637048,1636594,1637048,2427,640.0
152,chr1-1658636-1659442,1658636,1659442,17695,7004.0
153,chr1-1662552-1662798,1662552,1662798,875,319.0
154,chr1-1665016-1666801,1665016,1666801,9517,2483.0
155,chr1-1670950-1671217,1670950,1671217,1511,370.0
156,chr1-1672168-1672397,1672168,1672397,1365,355.0
157,chr1-1678024-1679146,1678024,1679146,7643,2309.0
158,chr1-1680431-1681278,1680431,1681278,5524,1664.0
159,chr1-1687097-1687305,1687097,1687305,1976,561.0
160,chr1-1687686-1688346,1687686,1688346,4008,1297.0
161,chr1-1692274-1693264,1692274,1693264,33313,13725.0
162,chr1-1693799-1694907,1693799,1694907,7288,2254.0
163,chr1-1696264-1696902,1696264,1696902,2808,761.0
164,chr1-1703846-1704434,1703846,1704434,2604,690.0
165,chr1-1723927-1724618,1723927,1724618,24079,9526.0
166,chr1-1726044-1726605,1726044,1726605,2733,751.0
167,chr1-1728416-1728801,1728416,1728801,1663,527.0
168,chr1-1731255-1731454,1731255,1731454,1163,310.0
169,chr1-1732209-1732550,1732209,1732550,1795,511.0
170,chr1-1736514-1736777,1736514,1736777,1487,427.0
171,chr1-1737681-1738035,1737681,1738035,1815,502.0
172,chr1-1740796-1741297,1740796,1741297,2362,768.0
173,chr1-1741989-1742447,1741989,1742447,2414,695.0
174,chr1-1743195-1743685,1743195,1743685,2338,734.0
175,chr1-1745661-1746548,1745661,1746548,12530,5215.0
176,chr1-1746948-1747239,1746948,1747239,1561,592.0
177,chr1-1748317-1749370,1748317,1749370,6980,2289.0
178,chr1-1752236-1752484,1752236,1752484,1730,576.0
179,chr1-1752717-1753787,1752717,1753787,7375,2124.0
180,chr1-1754077-1754455,1754077,1754455,3104,788.0
181,chr1-1757961-1759192,1757961,1759192,7859,2283.0
182,chr1-1763720-1764617,1763720,1764617,11950,4203.0
183,chr1-1775471-1776360,1775471,1776360,5728,1785.0
184,chr1-1777810-1779181,1777810,1779181,36839,13338.0
185,chr1-1779690-1780681,1779690,1780681,11599,3668.0
186,chr1-1782794-1783150,1782794,1783150,6270,2210.0
187,chr1-1787759-1788593,1787759,1788593,9721,3698.0
188,chr1-1788881-1789297,1788881,1789297,2983,889.0
189,chr1-1793229-1794030,1793229,1794030,4895,1398.0
190,chr1-1800855-1801194,1800855,1801194,2612,847.0
191,chr1-1806520-1808067,1806520,1808067,11107,3647.0
192,chr1-1813944-1814312,1813944,1814312,1907,638.0
193,chr1-1815667-1816085,1815667,1816085,2901,930.0
194,chr1-1817689-1818131,1817689,1818131,2778,828.0
195,chr1-1821087-1821447,1821087,1821447,2004,606.0
196,chr1-1826631-1827746,1826631,1827746,6608,2203.0
197,chr1-1833416-1834345,1833416,1834345,7186,2434.0
198,chr1-1839660-1839887,1839660,1839887,1582,527.0
199,chr1-1840187-1841075,1840187,1841075,9632,3552.0
200,chr1-1841361-1842074,1841361,1842074,6553,2354.0
201,chr1-1846598-1847638,1846598,1847638,7557,2718.0
202,chr1-1847873-1848222,1847873,1848222,2952,857.0
203,chr1-1849294-1849498,1849294,1849498,1617,443.0
204,chr1-1853020-1853282,1853020,1853282,2266,772.0
205,chr1-1853769-1854100,1853769,1854100,3153,1145.0
206,chr1-1857113-1857545,1857113,1857545,4287,1370.0
207,chr1-1858218-1858979,1858218,1858979,8953,3334.0
208,chr1-1860952-1861287,1860952,1861287,4236,1425.0
209,chr1-1869462-1869851,1869462,1869851,1959,570.0
210,chr1-1873027-1873743,1873027,1873743,5102,1674.0
211,chr1-1881660-1882130,1881660,1882130,3423,1035.0
212,chr1-1883097-1884094,1883097,1884094,4749,1541.0
213,chr1-1889876-1892136,1889876,1892136,78192,31026.0
214,chr1-1892491-1892759,1892491,1892759,4370,1646.0
215,chr1-1895904-1896273,1895904,1896273,3891,1385.0
216,chr1-1906200-1906540,1906200,1906540,14057,5506.0
217,chr1-1908279-1909843,1908279,1909843,80658,32030.0
218,chr1-1918796-1919978,1918796,1919978,40831,14722.0
219,chr1-1943828-1944399,1943828,1944399,6933,2487.0
220,chr1-1946157-1947044,1946157,1947044,7018,2389.0
221,chr1-1947402-1947648,1947402,1947648,1912,537.0
222,chr1-1959286-1960999,1959286,1960999,16926,5802.0
223,chr1-1966219-1966663,1966219,1966663,4758,1243.0
224,chr1-1967087-1967457,1967087,1967457,3378,827.0
225,chr1-1968997-1969831,1968997,1969831,7958,2315.0
226,chr1-1970250-1970605,1970250,1970605,3285,961.0
227,chr1-1974414-1974689,1974414,1974689,2396,618.0
228,chr1-1975325-1975835,1975325,1975835,2490,789.0
229,chr1-1977399-1977701,1977399,1977701,2002,546.0
230,chr1-1982396-1983647,1982396,1983647,10806,3667.0
231,chr1-1988930-1989987,1988930,1989987,6985,2239.0
232,chr1-1990057-1990651,1990057,1990651,4658,1592.0
233,chr1-1994674-1994910,1994674,1994910,1530,417.0
234,chr1-1995983-1996678,1995983,1996678,4163,1048.0
235,chr1-2003423-2004463,2003423,2004463,11359,4052.0
236,chr1-2015498-2016447,2015498,2016447,6431,2109.0
237,chr1-2019164-2020478,2019164,2020478,12978,4688.0
238,chr1-2020849-2021197,2020849,2021197,3119,1240.0
239,chr1-2021403-2022066,2021403,2022066,8517,3294.0
240,chr1-2025188-2025919,2025188,2025919,7176,2273.0
241,chr1-2032157-2033455,2032157,2033455,13826,4951.0
242,chr1-2035102-2035321,2035102,2035321,2372,788.0
243,chr1-2042116-2042462,2042116,2042462,2899,961.0
244,chr1-2042883-2043892,2042883,2043892,12840,4520.0
245,chr1-2044366-2045260,2044366,2045260,18577,6961.0
246,chr1-2046508-2046710,2046508,2046710,3912,1348.0
247,chr1-2049905-2050756,2049905,2050756,7649,2198.0
248,chr1-2059457-2060967,2059457,2060967,10445,2981.0
249,chr1-2073030-2075926,2073030,2075926,54967,21525.0
250,chr1-2082044-2082370,2082044,2082370,3688,1269.0
251,chr1-2085119-2085337,2085119,2085337,3166,1063.0
252,chr1-2086389-2086964,2086389,2086964,8459,3181.0
253,chr1-2087506-2088726,2087506,2088726,25521,9520.0
254,chr1-2091548-2092360,2091548,2092360,11599,4138.0
255,chr1-2098049-2098645,2098049,2098645,6216,2372.0
256,chr1-2098828-2099752,2098828,2099752,14340,5306.0
257,chr1-2099909-2100691,2099909,2100691,7416,2482.0
258,chr1-2102894-2103722,2102894,2103722,5025,1572.0
259,chr1-2107047-2107544,2107047,2107544,4724,1579.0
260,chr1-2108261-2108985,2108261,2108985,7178,2302.0
261,chr1-2112210-2113127,2112210,2113127,6600,1722.0
262,chr1-2114762-2116359,2114762,2116359,12512,4104.0
263,chr1-2124459-2125180,2124459,2125180,8592,3229.0
264,chr1-2125447-2127768,2125447,2127768,29266,9967.0
265,chr1-2128096-2128663,2128096,2128663,6569,2361.0
266,chr1-2132757-2134581,2132757,2134581,70691,26862.0
267,chr1-2135276-2135823,2135276,2135823,10338,4072.0
268,chr1-2137831-2138443,2137831,2138443,8152,3137.0
269,chr1-2139468-2140230,2139468,2140230,13777,5376.0
270,chr1-2145914-2146945,2145914,2146945,6446,1961.0
271,chr1-2151289-2151633,2151289,2151633,3394,1094.0
272,chr1-2152492-2153562,2152492,2153562,9551,3466.0
273,chr1-2155723-2156018,2155723,2156018,1991,623.0
274,chr1-2157746-2158798,2157746,2158798,12134,4478.0
275,chr1-2160065-2161309,2160065,2161309,11376,3831.0
276,chr1-2166278-2166517,2166278,2166517,2306,756.0
277,chr1-2174144-2174781,2174144,2174781,10628,4007.0
278,chr1-2179419-2179992,2179419,2179992,7825,2872.0
279,chr1-2183744-2184038,2183744,2184038,3399,1192.0
280,chr1-2189128-2190466,2189128,2190466,45267,17815.0
281,chr1-2194413-2195592,2194413,2195592,53900,21648.0
282,chr1-2198969-2199616,2198969,2199616,19002,7020.0
283,chr1-2204160-2205851,2204160,2205851,80985,30439.0
284,chr1-2212239-2215391,2212239,2215391,63047,24705.0
285,chr1-2220467-2220762,2220467,2220762,2161,705.0
286,chr1-2227136-2229584,2227136,2229584,112536,44215.0
287,chr1-2230175-2230551,2230175,2230551,8491,3444.0
288,chr1-2230823-2231064,2230823,2231064,8533,3326.0
289,chr1-2231740-2232450,2231740,2232450,15885,5517.0
290,chr1-2234110-2234738,2234110,2234738,11668,3725.0
291,chr1-2237703-2238425,2237703,2238425,8626,2962.0
292,chr1-2238673-2238904,2238673,2238904,3656,1192.0
293,chr1-2240102-2240617,2240102,2240617,8370,2887.0
294,chr1-2242799-2243672,2242799,2243672,9601,3246.0
295,chr1-2246084-2246973,2246084,2246973,7543,2262.0
296,chr1-2247552-2249696,2247552,2249696,20892,7292.0
297,chr1-2253485-2253755,2253485,2253755,2651,824.0
298,chr1-2256493-2257886,2256493,2257886,19930,7350.0
299,chr1-2259478-2260311,2259478,2260311,9208,3347.0
300,chr1-2266731-2268021,2266731,2268021,10090,3363.0
301,chr1-2270197-2270523,2270197,2270523,3701,1211.0
302,chr1-2273180-2273611,2273180,2273611,4549,1366.0
303,chr1-2275866-2276176,2275866,2276176,3867,1308.0
304,chr1-2277222-2277496,2277222,2277496,2148,764.0
305,chr1-2278112-2278547,2278112,2278547,3701,1162.0
306,chr1-2278725-2279897,2278725,2279897,10589,3482.0
307,chr1-2283608-2283820,2283608,2283820,2263,657.0
308,chr1-2284542-2284899,2284542,2284899,3095,869.0
309,chr1-2290073-2291801,2290073,2291801,23408,8048.0
310,chr1-2298924-2299624,2298924,2299624,8971,2932.0
311,chr1-2300809-2301631,2300809,2301631,10823,3196.0
312,chr1-2302477-2302830,2302477,2302830,4176,1455.0
313,chr1-2303067-2303368,2303067,2303368,4045,1391.0
314,chr1-2304653-2305841,2304653,2305841,13754,4936.0
315,chr1-2306677-2307168,2306677,2307168,4792,1743.0
316,chr1-2310301-2310557,2310301,2310557,3868,1368.0
317,chr1-2311379-2311707,2311379,2311707,8034,2994.0
318,chr1-2312825-2313390,2312825,2313390,9732,3600.0
319,chr1-2314472-2315385,2314472,2315385,17837,6507.0
320,chr1-2320781-2321291,2320781,2321291,5678,1859.0
321,chr1-2321993-2323343,2321993,2323343,21086,7883.0
322,chr1-2330323-2331105,2330323,2331105,5778,1792.0
323,chr1-2335729-2336124,2335729,2336124,2845,736.0
324,chr1-2342956-2344179,2342956,2344179,9315,3014.0
325,chr1-2347101-2347528,2347101,2347528,3245,892.0
326,chr1-2349751-2350102,2349751,2350102,1951,622.0
327,chr1-2350414-2350923,2350414,2350923,3306,932.0
328,chr1-2352862-2353439,2352862,2353439,3722,1024.0
329,chr1-2359737-2360068,2359737,2360068,1892,447.0
330,chr1-2375158-2375881,2375158,2375881,4884,1452.0
331,chr1-2378472-2378727,2378472,2378727,2741,845.0
332,chr1-2381104-2383265,2381104,2383265,27750,9399.0
333,chr1-2383518-2384034,2383518,2384034,3942,1524.0
334,chr1-2384124-2385834,2384124,2385834,15869,5505.0
335,chr1-2390906-2392335,2390906,2392335,60485,23313.0
336,chr1-2398821-2399181,2398821,2399181,2814,985.0
337,chr1-2408931-2409152,2408931,2409152,2887,993.0
338,chr1-2411864-2413544,2411864,2413544,66922,25854.0
339,chr1-2413904-2414768,2413904,2414768,17749,6715.0
340,chr1-2425265-2426995,2425265,2426995,18727,6832.0
341,chr1-2431790-2432705,2431790,2432705,11252,4064.0
342,chr1-2437521-2438405,2437521,2438405,11230,4062.0
343,chr1-2439380-2439634,2439380,2439634,2835,976.0
344,chr1-2441654-2442110,2441654,2442110,10346,3948.0
345,chr1-2443274-2444147,2443274,2444147,26575,10556.0
346,chr1-2445841-2447119,2445841,2447119,32716,12657.0
347,chr1-2449710-2450033,2449710,2450033,12321,4885.0
348,chr1-2451833-2452261,2451833,2452261,6909,3386.0
349,chr1-2452367-2453071,2452367,2453071,22990,8838.0
350,chr1-2455541-2456183,2455541,2456183,8278,2976.0
351,chr1-2459649-2460370,2459649,2460370,20718,8305.0
352,chr1-2460717-2461411,2460717,2461411,8231,2715.0
353,chr1-2467081-2467568,2467081,2467568,6676,2465.0
354,chr1-2470287-2470886,2470287,2470886,8491,3182.0
355,chr1-2472049-2472359,2472049,2472359,3913,1334.0
356,chr1-2474967-2475450,2474967,2475450,5528,1812.0
357,chr1-2480367-2481963,2480367,2481963,11991,4275.0
358,chr1-2482000-2482662,2482000,2482662,6660,2206.0
359,chr1-2489470-2489965,2489470,2489965,3790,1215.0
360,chr1-2493082-2494116,2493082,2494116,21041,8005.0
361,chr1-2496813-2497108,2496813,2497108,3010,978.0
362,chr1-2504702-2505107,2504702,2505107,5906,1952.0
363,chr1-2506020-2506386,2506020,2506386,5237,1710.0
364,chr1-2506842-2507429,2506842,2507429,7128,2267.0
365,chr1-2518478-2519980,2518478,2519980,11500,3621.0
366,chr1-2525789-2527783,2525789,2527783,85858,34282.0
367,chr1-2529781-2530550,2529781,2530550,16277,6825.0
368,chr1-2532212-2533160,2532212,2533160,12193,4567.0
369,chr1-2543308-2544060,2543308,2544060,16485,6380.0
370,chr1-2544775-2545201,2544775,2545201,8648,3455.0
371,chr1-2545790-2547326,2545790,2547326,33560,11865.0
372,chr1-2547719-2549261,2547719,2549261,42118,15734.0
373,chr1-2554858-2557152,2554858,2557152,33169,10830.0
374,chr1-2559583-2559887,2559583,2559887,3364,1058.0
375,chr1-2563767-2564463,2563767,2564463,4176,1123.0
376,chr1-2566338-2566723,2566338,2566723,2835,722.0
377,chr1-2570419-2570635,2570419,2570635,1556,389.0
378,chr1-2571771-2572132,2571771,2572132,1523,412.0
379,chr1-2575780-2576179,2575780,2576179,2911,762.0
380,chr1-2577773-2578690,2577773,2578690,7872,2210.0
381,chr1-2582334-2582694,2582334,2582694,4364,1692.0
382,chr1-2584937-2587534,2584937,2587534,115796,45772.0
383,chr1-2593842-2594340,2593842,2594340,3255,1012.0
384,chr1-2596374-2596910,2596374,2596910,3381,870.0
385,chr1-2601859-2602156,2601859,2602156,1738,507.0
386,chr1-2609194-2609565,2609194,2609565,3012,901.0
387,chr1-2610178-2611782,2610178,2611782,11429,3838.0
388,chr1-2633524-2634268,2633524,2634268,3987,1078.0
389,chr1-2637494-2637982,2637494,2637982,3091,982.0
390,chr1-2641497-2641714,2641497,2641714,3002,939.0
391,chr1-2642201-2643798,2642201,2643798,34287,12670.0
392,chr1-2652801-2654905,2652801,2654905,23719,4474.0
393,chr1-2655563-2656062,2655563,2656062,5521,1000.0
394,chr1-2683868-2684378,2683868,2684378,6024,1052.0
395,chr1-2688057-2688372,2688057,2688372,2601,524.0
396,chr1-2777492-2778696,2777492,2778696,6560,2100.0
397,chr1-2786490-2786977,2786490,2786977,3684,1096.0
398,chr1-2788636-2790162,2788636,2790162,8620,2847.0
399,chr1-2792829-2793351,2792829,2793351,1960,644.0
400,chr1-2800420-2800715,2800420,2800715,2052,473.0
401,chr1-2801311-2802035,2801311,2802035,4896,1473.0
402,chr1-2807677-2808173,2807677,2808173,3597,1066.0
403,chr1-2809593-2809830,2809593,2809830,2134,558.0
404,chr1-2817923-2818322,2817923,2818322,2282,651.0
405,chr1-2821290-2822426,2821290,2822426,11678,4005.0
406,chr1-2836549-2836982,2836549,2836982,2107,519.0
407,chr1-2845913-2846123,2845913,2846123,1209,296.0
408,chr1-2847567-2848030,2847567,2848030,2146,487.0
409,chr1-2848262-2848522,2848262,2848522,1543,337.0
410,chr1-2855773-2856310,2855773,2856310,2678,771.0
411,chr1-2856931-2857292,2856931,2857292,2225,533.0
412,chr1-2874552-2875235,2874552,2875235,4619,1382.0
413,chr1-2875601-2876447,2875601,2876447,8186,2787.0
414,chr1-2888373-2888754,2888373,2888754,2713,769.0
415,chr1-2890379-2890709,2890379,2890709,2492,728.0
416,chr1-2906073-2906443,2906073,2906443,4590,1670.0
417,chr1-2911273-2912179,2911273,2912179,8397,2893.0
418,chr1-2913227-2913488,2913227,2913488,2857,917.0
419,chr1-2914265-2915146,2914265,2915146,9335,3384.0
420,chr1-2918492-2918927,2918492,2918927,2960,946.0
421,chr1-2922051-2922313,2922051,2922313,2677,867.0
422,chr1-2926335-2927273,2926335,2927273,9274,2922.0
423,chr1-2927465-2927693,2927465,2927693,2025,614.0
424,chr1-2928077-2929182,2928077,2929182,8392,2742.0
425,chr1-2948461-2949518,2948461,2949518,11858,4153.0
426,chr1-2949997-2950554,2949997,2950554,7469,2655.0
427,chr1-2952409-2952879,2952409,2952879,3118,882.0
428,chr1-2961782-2962010,2961782,2962010,1452,380.0
429,chr1-2966451-2968184,2966451,2968184,26315,9715.0
430,chr1-2968375-2969671,2968375,2969671,28313,10547.0
431,chr1-2973698-2974177,2973698,2974177,4571,1405.0
432,chr1-2982082-2983623,2982082,2983623,27413,10188.0
433,chr1-2984582-2985544,2984582,2985544,13907,5035.0
434,chr1-2987741-2988134,2987741,2988134,5121,2388.0
435,chr1-2988260-2988563,2988260,2988563,6951,2660.0
436,chr1-3001278-3001794,3001278,3001794,3714,1047.0
437,chr1-3003184-3004227,3003184,3004227,8317,2538.0
438,chr1-3011245-3013219,3011245,3013219,34312,12937.0
439,chr1-3014947-3015409,3014947,3015409,4060,1267.0
440,chr1-3030425-3032398,3030425,3032398,29919,10620.0
441,chr1-3049038-3050251,3049038,3050251,4400,1143.0
442,chr1-3054574-3054894,3054574,3054894,1881,475.0
443,chr1-3060213-3060419,3060213,3060419,1785,502.0
444,chr1-3060869-3061260,3060869,3061260,2503,955.0
445,chr1-3061325-3061682,3061325,3061682,2728,811.0
446,chr1-3063506-3063950,3063506,3063950,3258,1008.0
447,chr1-3069412-3070844,3069412,3070844,20277,7828.0
448,chr1-3078287-3078873,3078287,3078873,8375,3215.0
449,chr1-3079710-3079986,3079710,3079986,3487,1290.0
450,chr1-3086445-3086736,3086445,3086736,3217,1191.0
451,chr1-3093867-3094151,3093867,3094151,2239,833.0
452,chr1-3094272-3095350,3094272,3095350,9759,3332.0
453,chr1-3100945-3101268,3100945,3101268,3086,1114.0
454,chr1-3101494-3101732,3101494,3101732,4553,1670.0
455,chr1-3104084-3104488,3104084,3104488,4802,1849.0
456,chr1-3104837-3106395,3104837,3106395,20927,7950.0
457,chr1-3112546-3112969,3112546,3112969,4161,1415.0
458,chr1-3113392-3114136,3113392,3114136,7316,2594.0
459,chr1-3124944-3125368,3124944,3125368,5098,2354.0
460,chr1-3125489-3126557,3125489,3126557,13808,5319.0
461,chr1-3127735-3128174,3127735,3128174,6103,2282.0
462,chr1-3133983-3134446,3133983,3134446,3935,1375.0
463,chr1-3138721-3138979,3138721,3138979,2320,856.0
464,chr1-3139207-3140027,3139207,3140027,8749,3146.0
465,chr1-3145942-3146317,3145942,3146317,3275,1037.0
466,chr1-3151349-3151732,3151349,3151732,3551,1168.0
467,chr1-3154060-3154626,3154060,3154626,4882,1659.0
468,chr1-3154966-3155297,3154966,3155297,3576,1250.0
469,chr1-3156639-3157276,3156639,3157276,7559,2908.0
470,chr1-3160995-3162390,3160995,3162390,17006,6519.0
471,chr1-3163410-3163744,3163410,3163744,2813,918.0
472,chr1-3166064-3166523,3166064,3166523,3222,1035.0
